GPU,Model,BatchSize,Optimizer,Epoch,Dataset,Resource,avg Idle time,avg Active time,avg Peak consumption,Execution Time
GTX1080,vgg11,64,adam,20,cifar10,GPU Mem Util%,0.9944088367653076,0.005591163234692486,0.0,5087.699436
GTX1080,vgg11,64,adam,20,cifar10,GPU Memory,0.99836356198009,0.001636438019909996,0.99836356198009,5087.699436
GTX1080,vgg11,64,adam,20,cifar10,CPU Util%,0.6675303422882858,0.33246965771171416,0.0,5087.699436
GTX1080,vgg16,8,sgd,10,cifar10,GPU Util%,0.998324478953821,0.0016755210461789948,0.998324478953821,8491.160297
GTX1080,vgg16,8,sgd,10,cifar10,GPU Mem Util%,0.9982427462198611,0.0017572537801389457,0.0,8491.160297
GTX1080,vgg16,8,sgd,10,cifar10,GPU Memory,0.9991009399264406,0.0008990600735594605,0.9991009399264406,8491.160297
GTX1080,vgg16,8,sgd,10,cifar10,CPU Util%,0.5141806293420514,0.4858193706579485,0.0,8491.160297
GTX1080,vgg16,8,sgd,20,cifar10,GPU Util%,0.9992861804535813,0.0007138195464186654,0.9913933757546093,17042.476495
GTX1080,vgg16,8,sgd,20,cifar10,GPU Mem Util%,0.9992249959210312,0.0007750040789688367,0.0,17042.476495
GTX1080,vgg16,8,sgd,20,cifar10,GPU Memory,0.9995513134279654,0.0004486865720345897,0.9995513134279654,17042.476495
GTX1080,vgg16,8,sgd,20,cifar10,CPU Util%,0.49553352912383747,0.5044664708761625,0.0,17042.476495
GTX1080,vgg16,8,adam,10,cifar10,GPU Util%,0.9988121311110286,0.0011878688889713797,0.9987378893054679,9367.167576
GTX1080,vgg16,8,adam,10,cifar10,GPU Mem Util%,0.9987007684026875,0.0012992315973124465,0.0,9367.167576
GTX1080,vgg16,8,adam,10,cifar10,GPU Memory,0.9990719774304911,0.0009280225695088905,0.9990719774304911,9367.167576
GTX1080,vgg16,8,adam,10,cifar10,CPU Util%,0.5627157652474108,0.4372842347525892,0.0,9367.167576
